id_serial,typ_1,typ_2,typ_29,typ_3,typ_4,typ_5,typ_6,typ_7,typ_8,strava_1,strava_2,strava_3,strava_4,strava_5,doprava_1,doprava_2,doprava_3,doprava_4,doprava_5,ubytovani_0,ubytovani_6,ubytovani_7,zeme_Albánie,zeme_Americký fotbal,zeme_Andorra,zeme_Anglie,zeme_Atletika,zeme_Austrálie,zeme_Autokarem do Tater,zeme_Autokarem do termálů,zeme_Autosalon,zeme_Basketbal,zeme_Belgie,zeme_Biatlon,zeme_Bosna a Hercegovina,zeme_Brazílie,zeme_Bulharsko,zeme_Cesty za uměním,zeme_Chorvatsko,zeme_Dostihy,zeme_Dánsko,zeme_Eurovíkendy,zeme_Formule 1,zeme_Fotbal,zeme_Francie,zeme_Golf,zeme_Hokej,zeme_Holandsko,zeme_Házená,zeme_Indie,zeme_Indonésie,zeme_Indočína,zeme_Irsko,zeme_Island,zeme_Itálie,zeme_Japonsko,zeme_Jižní Korea,zeme_Kambodža,zeme_Krasobruslení,zeme_Letecky do termálů,zeme_Letectví,zeme_Litva,zeme_Lotyšsko,zeme_Lyžování,zeme_Malajsie,zeme_Malta,zeme_Mauritius,zeme_Maďarsko,zeme_Mexiko,zeme_Moto GP,zeme_NHL,zeme_Namibie,zeme_Nepál,zeme_Norsko,zeme_Německo,zeme_Olympijské hry,zeme_Omán,zeme_Polsko,zeme_Portugalsko,zeme_Rakousko,zeme_Rugby,zeme_Rumunsko,zeme_Rusko,zeme_Skotsko,zeme_Slovensko,zeme_Slovinsko,zeme_Spojené Arabské Emiráty,zeme_Srí Lanka,zeme_Tenis,zeme_Turecko,zeme_USA,zeme_Vánoce a Silvestr,zeme_Vánoce a Silvestr na horách,zeme_Česká republika,zeme_Čína,zeme_Řecko,zeme_Španělsko,zeme_Švédsko,zeme_Švýcarsko,destinace_,destinace_ATP Masters Londýn,destinace_Adriatická riviéra,destinace_Alba Adriatica,destinace_Amsterdam,destinace_Anglie,destinace_Audi Cup,destinace_Australian Open,destinace_Austrálie,destinace_Azerbajdžán,destinace_Bad Füssing,destinace_Bahrain,destinace_Bali,destinace_Balkán,destinace_Barcelona,destinace_Bardějovské kúpele,destinace_Baška Voda,destinace_Belgie,destinace_Benátky,destinace_Beskydy,destinace_Bešeňová,destinace_Biograd na moru,destinace_Bojnice,destinace_Brazílie,destinace_Brno,destinace_Bundesliga,destinace_Bílé Karpaty,destinace_Bük,destinace_Bükfürdö,destinace_Chodová Planá,destinace_Costa Brava,destinace_Costa Dorada,destinace_Costa del Azahar,destinace_Davis Cup,destinace_Dubai,destinace_Dubaj,destinace_Dudince,destinace_Dunajská Streda,destinace_EURO 2016,destinace_Evropská liga,destinace_Fed Cup,destinace_Florencie,destinace_Florida,destinace_Francie,destinace_Francouzská liga,destinace_Františkovy Lázně,destinace_French Open,destinace_Hajduszóboszlo,destinace_Harkány,destinace_Hevíz,destinace_Holandsko,destinace_Horné Saliby,destinace_Istanbul,destinace_Itálie,destinace_Janské lázně,destinace_Japonsko,destinace_Jeseníky,destinace_Jižní Dalmácie,destinace_Jižní Morava,destinace_Jižní Slovensko,destinace_Jižní Čechy,destinace_Jáchymov,destinace_Kanada,destinace_Karlova Studánka,destinace_Karlovy Vary,destinace_Katar,destinace_Konstantinovy Lázně,destinace_Kremnické vrchy,destinace_Krkonoše,destinace_Krušné hory,destinace_Kúpele Lúčky,destinace_Laver Cup,destinace_Libverda,destinace_Liga mistrů,destinace_Lipno,destinace_Liptovský Mikuláš,destinace_Lisabon,destinace_Londýn,destinace_Luhačovice,destinace_Lázně Bohdaneč,destinace_Lázně Bělohrad,destinace_Lázně Mšené,destinace_MS 2015,destinace_MS 2016,"destinace_MS 2016, Oslo",destinace_MS 2017,destinace_MS 2017 - ubytování,destinace_MS 2017 - zájezdy,destinace_MS 2018,"destinace_MS 2018, Rusko",destinace_Madrid,destinace_Makarská riviéra,destinace_Malajsie,destinace_Malá Fatra,destinace_Mariánské Lázně,destinace_Mayská riviéra,destinace_Maďarsko,destinace_Maďarsko - Bükfürdö,destinace_Maďarsko - Sárvár,destinace_Mexiko,destinace_Miami Open,destinace_Mistrovství Evropy v krasobruslení,destinace_Mistrovství Světa v krasobruslení,destinace_Mistrovství světa v krasobruslení,destinace_Monaco,destinace_Monako,destinace_Mosonmagyaróvár,destinace_Máchovo jezero,destinace_NBA,destinace_NHL,destinace_NHL s průvodcem,destinace_Neapol,destinace_New York,destinace_Nice,destinace_Nizozemská liga,destinace_Nový Smokovec,destinace_Nízké Tatry,destinace_Německo,destinace_Orlická přehrada,destinace_Oslo,destinace_Ostrov Hvar,destinace_Palmová riviéra,destinace_Patince,destinace_Petrohrad,destinace_Piešťany,destinace_Plavby po Jadranu,destinace_Podhájska,destinace_Poděbrady,destinace_Portugalská liga,destinace_Praha,destinace_Premier League,destinace_Primošten,destinace_Přehrada Seč,destinace_Rajecké Teplice,destinace_Rakousko,destinace_Red Bull Air Race,destinace_Reprezentace ČR,destinace_Rusko,destinace_Sarvár,destinace_Savojské Alpy,destinace_Senec,destinace_Severní Dalmácie,destinace_Silvestr v termálech - Slovensko,destinace_Singapur,destinace_Skelné Teplice,destinace_Slatinice,destinace_Sliač,destinace_Slovensko,destinace_Slovensko - Podhájska,destinace_Slovensko - Velký Meder,destinace_Spojené Arabské Emiráty,destinace_Stockholm,destinace_Střední Dalmácie,destinace_Světový pohár,"destinace_Světový pohár, Anterselva","destinace_Světový pohár, Hochfilzen","destinace_Světový pohár, Oberhof","destinace_Světový pohár, Oslo","destinace_Světový pohár, Oslo 2017","destinace_Světový pohár, Ruhpolding",destinace_Teplice nad Bečvou,destinace_Teplice v Čechách,destinace_Termalpark Nitrava,destinace_Toskánsko,destinace_Trenčianské Teplice,destinace_Turčianské Teplice,destinace_Třeboň,destinace_US Open,destinace_USA,destinace_Valencie,destinace_Velká Británie,destinace_Velký Meder,destinace_Vodice,destinace_Vysoké Alpy,destinace_Vysoké Tatry,destinace_Vánoce v termálech - Maďarsko,destinace_WTA Singapur,destinace_Wimbledon,destinace_Zalakaros,destinace_Zell am See,destinace_Zemplínská Šírava,destinace_Západní Čechy,destinace_red bull air race,"destinace_Červený Kláštor, Pieniny",destinace_Českomoravská vrchovina,destinace_Česká republika,destinace_České Švýcarsko,destinace_Český Krumlov,destinace_Český Ráj,destinace_Čína,destinace_Řím,destinace_Španělsko,destinace_Španělská liga,destinace_Štúrovo,destinace_Šumava,destinace_Žďárské Vrchy,ubytovani_kategorie,AVG(prumerna_cena),AVG(prumerna_cena_noc),AVG(delka)
6130,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0534249545694654,0.7747838563010675,-0.14267483044207113,2.18087144286206
2798,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1538623670893922,-0.5609670842046618,-0.443425712915089,0.9523364711957638
4083,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31766251401651285,-0.56844867068746,-0.3410352057250312,-0.6856862697116929
6228,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1538623670893922,-0.7118937038288011,-0.5056500362746174,-1.044005983783412
6227,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1538623670893922,-0.7118937038288011,-0.5058152127050304,4.330789727292375
6183,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1538623670893922,-0.661141210909435,-0.469393809798966,1.016332372128973
1276,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0534249545694654,3.873383611816108,0.8101041142876603,1.4642320147186219
6221,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1538623670893922,-0.7118937038288011,-0.5058152127050304,2.18087144286206
6248,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1538623670893922,-0.641825768884134,-0.3447681930523648,-1.402325697855131
6222,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1538623670893922,-0.7118937038288011,-0.5058152127050304,0.38927287250346454
