"id_serial";"novelty_date";"available_date"
"6228";"2018-05-22";"2020-08-31"
"6227";"2018-05-22";"2019-05-26"
"6183";"2018-03-26";"2019-04-27"
"1276";"2018-04-13";"2019-05-06"
"6221";"2018-05-16";"2019-03-17"
"6248";"2018-06-12";"2019-03-17"
"6222";"2018-05-18";"2019-01-20"
"6242";"2018-05-30";"2018-12-27"
"6007";"2017-11-29";"2018-12-23"
"6009";"2017-11-29";"2018-12-23"
"6031";"2018-03-20";"2018-12-22"
"5987";"2017-11-21";"2018-12-22"
"5991";"2018-01-18";"2018-12-22"
"5994";"2017-11-23";"2018-12-22"
"6083";"2018-02-15";"2018-12-22"
"6084";"2018-01-17";"2018-12-22"
"6087";"2018-04-18";"2018-12-20"
"5982";"2017-12-13";"2018-12-20"
"5894";"2017-11-13";"2018-12-20"
"6225";"2018-05-21";"2018-12-20"
"6226";"2018-05-21";"2018-12-20"
"6002";"2018-03-29";"2018-12-20"
"6003";"2018-01-11";"2018-12-20"
"6163";"2018-03-13";"2018-12-20"
"5957";"2018-02-15";"2018-12-22"
"6165";"2018-03-14";"2018-12-20"
"6215";"2018-05-02";"2018-12-20"
"5958";"2017-11-10";"2018-12-20"
"6166";"2018-03-14";"2018-12-20"
"5959";"2017-11-10";"2018-12-20"
"5921";"2017-10-18";"2018-12-20"
"5961";"2017-11-10";"2018-12-20"
"6201";"2018-04-17";"2018-12-20"
"5963";"2017-11-13";"2018-12-20"
"5965";"2017-11-13";"2018-12-20"
"6209";"2018-04-25";"2018-12-19"
"6210";"2018-04-25";"2018-12-19"
"6211";"2018-04-25";"2018-12-19"
"6214";"2018-04-28";"2018-12-16"
"6224";"2018-05-21";"2018-12-15"
"6234";"2018-05-28";"2018-12-13"
"6213";"2018-04-28";"2018-12-09"
"6219";"2018-05-15";"2018-12-09"
"6160";"2018-03-12";"2018-12-02"
"5974";"2018-04-04";"2018-12-03"
"6102";"2018-04-25";"2018-11-19"
"6077";"2018-01-15";"2018-11-18"
"6105";"2018-04-25";"2018-11-18"
"6256";"2018-06-19";"2018-11-10"
"6255";"2018-06-19";"2018-11-03"
"5917";"2017-10-12";"2018-12-22"
"6005";"2017-11-29";"2018-12-23"
"6082";"2018-01-16";"2018-12-20"
"6206";"2018-04-19";"2018-10-31"
"5748";"2018-02-02";"2018-10-31"
"6254";"2018-06-14";"2018-12-20"
"6151";"2018-03-02";"2018-10-31"
"6152";"2018-03-02";"2018-10-31"
"6153";"2018-03-02";"2018-10-31"
"6182";"2018-03-26";"2018-10-31"
"6154";"2018-03-02";"2018-10-31"
"3438";"2018-03-09";"2018-10-29"
"5932";"2017-10-27";"2018-10-28"
"6179";"2018-03-22";"2018-10-28"
"6180";"2018-03-23";"2018-10-24"
"6096";"2018-01-25";"2018-10-17"
"5938";"2017-11-06";"2018-10-14"
"6267";"2018-06-27";"2018-10-11"
"5962";"2017-11-15";"2018-10-08"
"6229";"2018-05-25";"2018-10-07"
"5892";"2017-09-26";"2018-09-30"
"6207";"2018-04-23";"2018-12-14"
"6174";"2018-03-22";"2018-09-30"
"6176";"2018-03-22";"2018-09-30"
"6177";"2018-03-22";"2018-09-30"
"6170";"2018-03-21";"2018-09-23"
"5876";"2017-09-19";"2018-09-09"
"6175";"2018-03-22";"2018-09-09"
"1220";"2018-04-11";"2018-09-09"
"6041";"2018-04-01";"2018-09-15"
