"id_serial";"id_typ";"strava";"doprava";"ubytovani";"ubytovani_kategorie";"zeme";"destinace";"AVG(prumerna_cena)";"AVG(prumerna_cena_noc)";"AVG(delka)"
"6130";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"20667.0000";"2198.5000";"11.0000"
"2798";"1";"1";"1";"7";"0.00";"Slovensko";"Jižní Slovensko";"2099.0000";"377.7143";"7.5714"
"4083";"7";"3";"1";"6";"2.00";"Slovensko";"Vysoké Tatry";"1995.0000";"997.6000";"3.0000"
"6228";"4";"1";"3";"7";"0.00";"Olympijské hry";;"1.0000";"1.0000";"2.0000"
"6227";"4";"1";"1";"7";"0.00";"Hokej";"MS 2018";"1.0000";"0.0000";"17.0000"
"6183";"3";"1";"1";"7";"0.00";"Slovensko";"Velký Meder";"706.5000";"220.5000";"7.7500"
"1276";"2";"5";"3";"6";"3.00";"Mexiko";"Mayská riviéra";"63740.0000";"7966.7500";"9.0000"
"6221";"4";"1";"1";"7";"0.00";"Biatlon";;"1.0000";"0.0000";"11.0000"
"6248";"4";"1";"1";"7";"0.00";"Biatlon";;"975.0000";"975.0000";"1.0000"
"6222";"4";"1";"1";"7";"0.00";"Biatlon";;"1.0000";"0.0000";"6.0000"
"6242";"2";"2";"3";"6";"2.00";"Brazílie";;"45826.3636";"8908.6364";"8.3636"
"6007";"3";"2";"1";"0";"3.00";"Slovensko";"Turčianské Teplice";"2070.0000";"2070.0000";"2.0000"
"6009";"3";"2";"1";"7";"0.00";"Slovensko";"Turčianské Teplice";"1190.0000";"1190.0000";"2.0000"
"5987";"3";"3";"1";"6";"3.00";"Česká republika:Česká republika, víkendové pobyty";"Jáchymov";"6485.0000";"2161.0000";"4.0000"
"5991";"3";"3";"1";"6";"2.00";"Česká republika";"Jáchymov";"9770.0000";"1395.3333";"8.0000"
"5994";"3";"3";"1";"6";"2.00";"Česká republika";"Jáchymov";"2890.0000";"1445.0000";"3.0000"
"6031";"3";"1";"1";"0";"0.00";"Slovensko";"Dunajská Streda";"1418.0000";"1418.0000";"2.0000"
"6083";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"12167.6667";"3041.6667";"5.0000"
"6084";"3";"3";"1";"0";"3.00";"Slovensko";"Dunajská Streda";"28473.2500";"4067.0000";"8.0000"
"5894";"3";"1";"1";"0";"3.00";"Slovensko";"Podhájska";"385.0000";"385.0000";"2.0000"
